Carimbo de data/hora,Idade,Sexo,Semestre,Renda familiar,Período,Você trabalha?,Quanto tempo estuda na internet (horas),Tempo de estudo diário,Mora com quem?,Há quanto tempo utiliza computador?,Você costuma acessar a Internet? ,Qual o dispositivo móvel que você mais acessa? ,tempo_conectado_internet_diario,Você utiliza a internet para trabalho? ,Você utiliza a internet para conversar com amigos?    ,Você utiliza a internet para conversar com desconhecido?,Você utiliza a internet para acessar e-mail?    ,Você utiliza a internet para realizar Pesquisas acadêmicas ?,Você utiliza a internet para acessar notícias através da internet?, Você utiliza a internet para fazer compras em lojas online?,Você utiliza a internet para assistir a vídeos online?,Você utiliza a internet para participar de jogos online?,Você acredita que a internet atrapalha a sua formação?,Você considera as redes sociais um ambiente tóxico?,Você utiliza a internet para fazer download de conteúdo?,O que o computador representa para você?,Como você se sente em relação a informática?
04/07/2024 18:07:03,21 a 30 anos,Feminino,6,De 1 a 3 salários mínimos,Diurno,Sim,Acima de 4 horas,1 horas a 2 horas,Família,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 18:08:11,21 a 30 anos,Masculino,4,De 1 a 3 salários mínimos,Diurno,Não,2 horas a 3 horas,0 a 1 hora,Família,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 18:10:33,21 a 30 anos,Masculino,1,De 1 a 3 salários mínimos,Diurno,Não,2 horas a 3 horas,2 horas a 3 horas,Só,De 7 a 9 anos,Sim,Computador/notebook,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 18:12:01,17 a 20 anos,Masculino,4,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,Acima de 4 horas,Família,De 7 a 9 anos,Sim,Celular,Acima de 6 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 18:17:02,17 a 20 anos,Masculino,2,De 1 a 3 salários mínimos,Diurno,Não,2 horas a 3 horas,2 horas a 3 horas,Família,De 10 a 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 18:18:25,21 a 30 anos,Masculino,10,De 1 a 3 salários mínimos,Diurno,Sim,2 horas a 3 horas,2 horas a 3 horas,Família,Mais de 12 anos,Sim,Computador/notebook,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 18:50:05,21 a 30 anos,Masculino,9,De 10 a 12 salários mínimos,Diurno,Sim,Acima de 4 horas,Acima de 4 horas,Família,Mais de 12 anos,Sim,Computador/notebook,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 18:53:32,21 a 30 anos,Masculino,14,De 4 a 6 salários mínimos,Diurno,Sim,Acima de 4 horas,3 horas a 4 horas,Família,Mais de 12 anos,Sim,Computador/notebook,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
04/07/2024 19:31:56,21 a 30 anos,Masculino,7,De 4 a 6 salários mínimos,Diurno,Não,Acima de 4 horas,3 horas a 4 horas,Família,Mais de 12 anos,Sim,Computador/notebook,Acima de 6 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 19:41:18,21 a 30 anos,Feminino,5,De 1 a 3 salários mínimos,Diurno,Não,3 horas a 4 horas,3 horas a 4 horas,Família,De 1 a 3 anos,Sim,Tablet,Entre 3 horas a 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 21:04:21,21 a 30 anos,Masculino,5,De 1 a 3 salários mínimos,Diurno,Não,3 horas a 4 horas,3 horas a 4 horas,Só,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
